param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  5  6  3  7  10  7  8  3  3  9
2  5  100  5  5  7  5  3  2  8  7  9
3  6  5  100  7  2  6  6  3  4  3  8
4  3  5  7  100  9  3  9  4  9  5  4
5  7  7  2  9  100  9  5  10  7  10  2
6  10  5  6  3  9  100  3  9  6  7  8
7  7  3  6  9  5  3  100  9  8  10  10
8  8  2  3  4  10  9  9  100  4  3  5
9  3  8  4  9  7  6  8  4  100  10  8
10  3  7  3  5  10  7  10  3  10  100  9
11  9  9  8  4  2  8  10  5  8  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  2  100  100  9  100  100  2  100  100  6
2  2  100  8  100  100  3  100  3  2  100  100
3  100  8  100  9  100  100  100  100  100  100  100
4  100  100  9  100  9  100  100  100  6  100  100
5  9  100  100  9  100  3  100  100  8  100  100
6  100  3  100  100  3  100  8  100  100  100  100
7  100  100  100  100  100  8  100  9  100  8  100
8  2  3  100  100  100  100  9  100  2  100  8
9  100  2  100  6  8  100  100  2  100  2  100
10  100  100  100  100  100  100  8  100  2  100  8
11  6  100  100  100  100  100  100  8  100  8  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  1  0  0  1
2  .  .  1  0  0  1  0  0  1  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  1  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  1  0  0  0
2  .  .  0  0  0  1  0  0  1  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  2
2  1  8
3  2  9
4  9  10
5  2  6
6  5  6
7  1  11
8  4  9
9  2  3
10  6  7
;
