param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  4  3  4  10  8  2  5  2  3  9
2  4  100  8  9  7  3  3  9  7  7  3
3  3  8  100  7  3  9  9  2  5  2  5
4  4  9  7  100  4  5  2  6  10  6  4
5  10  7  3  4  100  7  8  7  5  2  6
6  8  3  9  5  7  100  4  6  10  3  2
7  2  3  9  2  8  4  100  5  4  8  3
8  5  9  2  6  7  6  5  100  5  7  9
9  2  7  5  10  5  10  4  5  100  2  6
10  3  7  2  6  2  3  8  7  2  100  8
11  9  3  5  4  6  2  3  9  6  8  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  6  100  100  6  100  5  100  100  5  2
2  6  100  8  100  100  6  7  2  100  100  100
3  100  8  100  7  100  7  100  100  2  100  100
4  100  100  7  100  8  100  100  100  100  100  100
5  6  100  100  8  100  7  100  100  100  100  100
6  100  6  7  100  7  100  10  10  6  6  100
7  5  7  100  100  100  10  100  9  100  100  100
8  100  2  100  100  100  10  9  100  7  100  100
9  100  100  2  100  100  6  100  7  100  2  100
10  5  100  100  100  100  6  100  100  2  100  8
11  2  100  100  100  100  100  100  100  100  8  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  1  0  1  0  0  1  1
2  .  .  0  0  0  1  0  1  0  0  0
3  .  .  .  1  0  0  0  0  1  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  1  0  0  0  1
2  .  .  0  0  0  0  0  1  0  0  0
3  .  .  .  0  0  0  0  0  1  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  11
2  2  8
3  3  9
4  9  10
5  1  7
6  1  10
7  1  2
8  1  5
9  2  6
10  3  4
;
