param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  8  7  5  9  8  9  7  5  2  2
2  8  100  5  8  6  5  8  6  9  2  2
3  7  5  100  5  2  8  4  2  4  10  8
4  5  8  5  100  10  8  9  8  6  6  10
5  9  6  2  10  100  6  7  4  2  6  8
6  8  5  8  8  6  100  10  4  10  7  7
7  9  8  4  9  7  10  100  6  10  2  3
8  7  6  2  8  4  4  6  100  2  8  10
9  5  9  4  6  2  10  10  2  100  5  8
10  2  2  10  6  6  7  2  8  5  100  8
11  2  2  8  10  8  7  3  10  8  8  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  4  100  100  100  7  4  100  100  100  6
2  4  100  4  100  10  6  8  100  100  8  2
3  100  4  100  6  4  100  100  100  100  100  100
4  100  100  6  100  10  100  4  100  100  100  100
5  100  10  4  10  100  4  7  100  100  100  10
6  7  6  100  100  4  100  9  100  100  100  100
7  4  8  100  4  7  9  100  4  100  100  100
8  100  100  100  100  100  100  4  100  9  100  100
9  100  100  100  100  100  100  100  9  100  9  100
10  100  8  100  100  100  100  100  100  9  100  3
11  6  2  100  100  10  100  100  100  100  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  1  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  1
3  .  .  .  0  1  0  0  0  0  0  0
4  .  .  .  .  0  0  1  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  1  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  1
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  11
2  10  11
3  1  2
4  1  7
5  2  3
6  3  5
7  4  7
8  5  6
9  7  8
10  8  9
;
