param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  7  4  2  8  5  8  4  4  2  5
2  7  100  10  5  9  7  6  10  10  5  4
3  4  10  100  9  6  8  4  6  4  8  9
4  2  5  9  100  2  9  5  2  2  10  5
5  8  9  6  2  100  4  5  9  5  5  10
6  5  7  8  9  4  100  9  10  5  3  7
7  8  6  4  5  5  9  100  9  10  4  8
8  4  10  6  2  9  10  9  100  10  5  10
9  4  10  4  2  5  5  10  10  100  5  4
10  2  5  8  10  5  3  4  5  5  100  7
11  5  4  9  5  10  7  8  10  4  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  3  100  7  100  100  100  10  5  100  7
2  3  100  10  100  100  100  100  10  2  100  8
3  100  10  100  4  100  2  100  2  100  100  100
4  7  100  4  100  9  100  100  100  100  100  100
5  100  100  100  9  100  9  100  100  100  100  100
6  100  100  2  100  9  100  4  100  100  100  100
7  100  100  100  100  100  4  100  7  100  100  100
8  10  10  2  100  100  100  7  100  6  100  100
9  5  2  100  100  100  100  100  6  100  8  100
10  100  100  100  100  100  100  100  100  8  100  6
11  7  8  100  100  100  100  100  100  100  6  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  1  0  0
3  .  .  .  1  0  1  0  1  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  1  0  0
3  .  .  .  1  0  1  0  1  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  9
2  3  6
3  3  8
4  1  2
5  3  4
6  6  7
7  8  9
8  10  11
9  1  11
10  4  5
;
