param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  8  5  5  6  3  7  5  7  8  6
2  8  100  9  10  8  2  8  7  9  9  9
3  5  9  100  3  4  6  3  5  5  2  10
4  5  10  3  100  10  4  8  4  9  7  3
5  6  8  4  10  100  2  9  7  6  7  2
6  3  2  6  4  2  100  4  3  10  7  3
7  7  8  3  8  9  4  100  2  3  5  6
8  5  7  5  4  7  3  2  100  3  9  10
9  7  9  5  9  6  10  3  3  100  2  7
10  8  9  2  7  7  7  5  9  2  100  8
11  6  9  10  3  2  3  6  10  7  8  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  5  100  4  100  100  100  100  100  100  4
2  5  100  4  100  100  4  100  100  5  100  100
3  100  4  100  4  3  100  2  3  100  8  100
4  4  100  4  100  5  100  100  8  100  100  100
5  100  100  3  5  100  10  5  100  100  100  100
6  100  4  100  100  10  100  7  2  100  100  100
7  100  100  2  100  5  7  100  8  100  100  100
8  100  100  3  8  100  2  8  100  2  100  100
9  100  5  100  100  100  100  100  2  100  6  100
10  100  100  8  100  100  100  100  100  6  100  3
11  4  100  100  100  100  100  100  100  100  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  1  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0
3  .  .  .  1  1  0  1  1  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  1  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  1  0  1  1  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  1  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  3  7
2  6  8
3  8  9
4  3  5
5  3  8
6  10  11
7  1  4
8  1  11
9  2  3
10  3  4
;
