param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  2  4  4  5  8  2  2  4  10  2
2  2  100  7  2  9  5  6  10  3  3  8
3  4  7  100  8  3  6  5  10  10  7  10
4  4  2  8  100  4  3  4  2  5  2  7
5  5  9  3  4  100  10  7  3  5  3  10
6  8  5  6  3  10  100  6  5  5  5  10
7  2  6  5  4  7  6  100  8  2  9  6
8  2  10  10  2  3  5  8  100  9  4  6
9  4  3  10  5  5  5  2  9  100  2  9
10  10  3  7  2  3  5  9  4  2  100  2
11  2  8  10  7  10  10  6  6  9  2  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  6  100  7  100  100  7  100  6  100  9
2  6  100  7  100  100  100  100  100  100  100  100
3  100  7  100  6  100  100  100  100  100  100  9
4  7  100  6  100  10  100  100  100  100  100  100
5  100  100  100  10  100  3  100  100  100  100  100
6  100  100  100  100  3  100  5  100  100  6  100
7  7  100  100  100  100  5  100  7  100  100  100
8  100  100  100  100  100  100  7  100  2  100  100
9  6  100  100  100  100  100  100  2  100  4  6
10  100  100  100  100  100  6  100  100  4  100  2
11  9  100  9  100  100  100  100  100  6  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  1  0  0  0  0  1  0  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  1  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  8  9
2  10  11
3  5  6
4  9  10
5  6  7
6  1  2
7  1  9
8  3  4
9  6  10
10  1  4
;
