param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  9  5  5  3  5  5  7  10  3  2
2  9  100  2  2  9  9  2  10  6  9  7
3  5  2  100  6  3  6  7  5  4  2  4
4  5  2  6  100  8  7  8  4  3  7  4
5  3  9  3  8  100  10  8  5  2  8  9
6  5  9  6  7  10  100  2  4  5  3  7
7  5  2  7  8  8  2  100  9  5  2  9
8  7  10  5  4  5  4  9  100  2  9  4
9  10  6  4  3  2  5  5  2  100  9  5
10  3  9  2  7  8  3  2  9  9  100  6
11  2  7  4  4  9  7  9  4  5  6  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  6  4  100  100  5  100  100  100  100  9
2  6  100  5  100  100  7  100  100  3  4  3
3  4  5  100  8  100  100  4  100  7  100  100
4  100  100  8  100  5  100  100  100  100  100  100
5  100  100  100  5  100  6  100  2  100  8  100
6  5  7  100  100  6  100  5  100  100  100  100
7  100  100  4  100  100  5  100  9  100  100  2
8  100  100  100  100  2  100  9  100  10  100  10
9  100  3  7  100  100  100  100  10  100  10  100
10  100  4  100  100  8  100  100  100  10  100  2
11  9  3  100  100  100  100  2  10  100  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  1  0  0  1  0  0  0  0  0
2  .  .  0  0  0  0  0  0  1  0  1
3  .  .  .  0  0  0  1  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  1  0  1  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  1
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  1  0  1
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  1  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  1
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  5  8
2  7  11
3  10  11
4  2  9
5  2  11
6  1  3
7  3  7
8  1  6
9  4  5
10  5  6
;
