param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  5  2  8  2  10  9  5  2  10  6
2  5  100  6  4  9  5  3  4  8  2  2
3  2  6  100  6  4  8  2  4  3  6  6
4  8  4  6  100  10  5  2  9  10  8  2
5  2  9  4  10  100  6  9  4  2  10  10
6  10  5  8  5  6  100  9  2  4  6  2
7  9  3  2  2  9  9  100  9  3  2  8
8  5  4  4  9  4  2  9  100  3  7  3
9  2  8  3  10  2  4  3  3  100  5  10
10  10  2  6  8  10  6  2  7  5  100  10
11  6  2  6  2  10  2  8  3  10  10  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  2  100  100  100  100  100  100  2  100  7
2  2  100  7  100  100  10  100  5  8  100  7
3  100  7  100  9  100  100  100  100  100  10  100
4  100  100  9  100  9  100  100  100  100  100  100
5  100  100  100  9  100  9  100  100  100  100  100
6  100  10  100  100  9  100  4  100  7  100  100
7  100  100  100  100  100  4  100  5  7  100  100
8  100  5  100  100  100  100  5  100  2  100  100
9  2  8  100  100  100  7  7  2  100  5  100
10  100  100  10  100  100  100  100  100  5  100  6
11  7  7  100  100  100  100  100  100  100  6  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  1  0  0
2  .  .  1  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  1  0  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  2
2  1  9
3  8  9
4  6  7
5  7  8
6  9  10
7  10  11
8  2  3
9  3  4
10  4  5
;
