param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  5  9  6  5  10  10  8  9  5  7
2  5  100  6  9  5  4  2  7  7  10  4
3  9  6  100  3  6  2  10  8  8  5  6
4  6  9  3  100  8  8  5  9  8  5  8
5  5  5  6  8  100  2  9  10  2  7  8
6  10  4  2  8  2  100  10  7  6  7  5
7  10  2  10  5  9  10  100  10  9  2  5
8  8  7  8  9  10  7  10  100  3  3  9
9  9  7  8  8  2  6  9  3  100  7  6
10  5  10  5  5  7  7  2  3  7  100  2
11  7  4  6  8  8  5  5  9  6  2  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  4  8  100  100  100  100  100  100  100  8
2  4  100  9  100  100  100  100  100  100  100  9
3  8  9  100  10  100  100  100  100  100  100  100
4  100  100  10  100  5  100  100  100  100  100  100
5  100  100  100  5  100  5  100  100  100  100  100
6  100  100  100  100  5  100  2  100  8  100  100
7  100  100  100  100  100  2  100  3  100  100  100
8  100  100  100  100  100  100  3  100  8  100  100
9  100  100  100  100  100  8  100  8  100  2  100
10  100  100  100  100  100  100  100  100  2  100  10
11  8  9  100  100  100  100  100  100  100  10  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  1  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  1  0  1  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  6  7
2  9  10
3  7  8
4  1  2
5  4  5
6  5  6
7  1  3
8  1  11
9  6  9
10  3  4
;
