param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  5  7  10  10  10  7  10  4  6  9
2  5  100  6  8  7  3  3  6  4  10  10
3  7  6  100  5  3  7  7  3  3  7  3
4  10  8  5  100  9  7  3  4  6  9  8
5  10  7  3  9  100  6  3  4  4  6  2
6  10  3  7  7  6  100  3  6  2  8  4
7  7  3  7  3  3  3  100  6  7  2  3
8  10  6  3  4  4  6  6  100  10  5  3
9  4  4  3  6  4  2  7  10  100  8  5
10  6  10  7  9  6  8  2  5  8  100  10
11  9  10  3  8  2  4  3  3  5  10  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  6  2  100  100  100  5  100  100  6  8
2  6  100  4  4  100  100  100  100  100  100  100
3  2  4  100  3  100  100  100  100  100  3  100
4  100  4  3  100  3  100  100  100  100  100  3
5  100  100  100  3  100  5  100  100  100  100  100
6  100  100  100  100  5  100  7  100  100  100  8
7  5  100  100  100  100  7  100  8  100  100  100
8  100  100  100  100  100  100  8  100  5  100  100
9  100  100  100  100  100  100  100  5  100  4  100
10  6  100  3  100  100  100  100  100  4  100  10
11  8  100  100  3  100  8  100  100  100  10  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  1  0  0  0  1  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  1  0
4  .  .  .  .  1  0  0  0  0  0  1
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  1  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  1  0
4  .  .  .  .  1  0  0  0  0  0  1
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  3
2  3  4
3  3  10
4  4  5
5  4  11
6  2  3
7  9  10
8  1  7
9  5  6
10  8  9
;
