param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  2  8  10  8  3  2  2  2  4  8
2  2  100  5  9  2  10  9  7  10  8  2
3  8  5  100  3  3  2  7  3  10  2  9
4  10  9  3  100  5  3  3  6  5  5  4
5  8  2  3  5  100  6  9  5  3  4  5
6  3  10  2  3  6  100  6  5  2  8  7
7  2  9  7  3  9  6  100  4  5  2  6
8  2  7  3  6  5  5  4  100  8  4  10
9  2  10  10  5  3  2  5  8  100  4  3
10  4  8  2  5  4  8  2  4  4  100  9
11  8  2  9  4  5  7  6  10  3  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  3  100  100  10  100  100  100  100  2  10
2  3  100  9  9  6  100  100  100  7  100  100
3  100  9  100  7  100  100  100  100  2  100  100
4  100  9  7  100  7  100  100  100  100  100  100
5  10  6  100  7  100  4  100  100  100  6  100
6  100  100  100  100  4  100  5  100  100  100  100
7  100  100  100  100  100  5  100  10  4  2  100
8  100  100  100  100  100  100  10  100  9  100  100
9  100  7  2  100  100  100  4  9  100  3  6
10  2  100  100  100  6  100  2  100  3  100  5
11  10  100  100  100  100  100  100  100  6  5  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  1  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  1  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  1  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  1  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  1  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  1  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  10
2  3  9
3  7  10
4  1  2
5  9  10
6  5  6
7  6  7
8  10  11
9  3  4
10  8  9
;
