param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  9  4  10  8  7  10  3  10  6  7
2  9  100  7  3  8  7  7  4  7  3  5
3  4  7  100  4  5  3  6  3  5  9  10
4  10  3  4  100  3  4  5  3  5  8  6
5  8  8  5  3  100  9  8  5  10  5  10
6  7  7  3  4  9  100  4  4  2  3  9
7  10  7  6  5  8  4  100  4  9  2  3
8  3  4  3  3  5  4  4  100  2  5  3
9  10  7  5  5  10  2  9  2  100  2  3
10  6  3  9  8  5  3  2  5  2  100  3
11  7  5  10  6  10  9  3  3  3  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  4  100  100  7  100  100  100  5  100  2
2  4  100  4  100  100  100  100  100  100  8  100
3  100  4  100  7  100  100  4  100  100  3  100
4  100  100  7  100  8  100  3  10  4  100  100
5  7  100  100  8  100  10  2  8  100  100  100
6  100  100  100  100  10  100  8  100  100  100  100
7  100  100  4  3  2  8  100  6  100  100  100
8  100  100  100  10  8  100  6  100  2  100  100
9  5  100  100  4  100  100  100  2  100  6  100
10  100  8  3  100  100  100  100  100  6  100  10
11  2  100  100  100  100  100  100  100  100  10  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  1  0  0  1  0
4  .  .  .  .  0  0  1  0  1  0  0
5  .  .  .  .  .  0  1  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  1  0
4  .  .  .  .  0  0  1  0  0  0  0
5  .  .  .  .  .  0  1  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  11
2  5  7
3  8  9
4  3  10
5  4  7
6  1  2
7  2  3
8  3  7
9  4  9
10  6  7
;
