param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  3  4  4  10  2  8  9  4  4  9
2  3  100  10  6  4  7  6  6  4  3  8
3  4  10  100  7  3  6  7  6  8  5  4
4  4  6  7  100  9  3  8  7  8  4  2
5  10  4  3  9  100  5  2  5  7  3  2
6  2  7  6  3  5  100  10  7  8  9  10
7  8  6  7  8  2  10  100  8  8  10  8
8  9  6  6  7  5  7  8  100  4  2  5
9  4  4  8  8  7  8  8  4  100  10  8
10  4  3  5  4  3  9  10  2  10  100  9
11  9  8  4  2  2  10  8  5  8  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  4  100  100  100  100  10  100  100  100  9
2  4  100  4  100  100  100  100  100  100  100  100
3  100  4  100  6  8  9  100  100  100  3  100
4  100  100  6  100  5  100  100  100  100  100  100
5  100  100  8  5  100  3  2  2  100  100  100
6  100  100  9  100  3  100  7  100  100  100  100
7  10  100  100  100  2  7  100  8  100  100  100
8  100  100  100  100  2  100  8  100  4  100  100
9  100  100  100  100  100  100  100  4  100  9  100
10  100  100  3  100  100  100  100  100  9  100  9
11  9  100  100  100  100  100  100  100  100  9  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  1  0
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  1  1  1  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  1  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  1  1  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  5  7
2  5  8
3  3  10
4  5  6
5  1  2
6  2  3
7  8  9
8  4  5
9  3  4
10  1  11
;
