param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  7  6  9  8  4  10  6  8  7  4
2  7  100  5  9  6  5  2  7  2  6  10
3  6  5  100  2  10  4  10  8  7  5  3
4  9  9  2  100  6  8  5  4  4  9  7
5  8  6  10  6  100  3  10  5  8  7  4
6  4  5  4  8  3  100  2  5  2  6  5
7  10  2  10  5  10  2  100  5  2  3  10
8  6  7  8  4  5  5  5  100  10  7  7
9  8  2  7  4  8  2  2  10  100  4  10
10  7  6  5  9  7  6  3  7  4  100  7
11  4  10  3  7  4  5  10  7  10  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  7  2  100  100  100  100  100  100  100  2
2  7  100  9  100  100  100  9  9  100  100  8
3  2  9  100  6  100  6  100  100  100  100  100
4  100  100  6  100  6  100  10  100  5  8  100
5  100  100  100  6  100  6  100  100  7  100  100
6  100  100  6  100  6  100  2  100  100  100  100
7  100  9  100  10  100  2  100  4  100  7  100
8  100  9  100  100  100  100  4  100  3  100  100
9  100  100  100  5  7  100  100  3  100  8  100
10  100  100  100  8  100  100  7  100  8  100  10
11  2  8  100  100  100  100  100  100  100  10  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  1  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  1  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  1  0  1  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  1  0  0  0  0  0  0  0  1
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  3
2  1  11
3  6  7
4  8  9
5  7  8
6  4  9
7  3  4
8  4  5
9  1  2
10  7  10
;
