param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  10  3  8  8  2  6  3  9  7  3
2  10  100  9  7  2  10  5  2  5  3  4
3  3  9  100  6  4  6  10  8  3  6  9
4  8  7  6  100  8  7  3  9  9  7  6
5  8  2  4  8  100  8  7  5  7  3  2
6  2  10  6  7  8  100  8  2  6  4  9
7  6  5  10  3  7  8  100  7  5  10  10
8  3  2  8  9  5  2  7  100  8  8  5
9  9  5  3  9  7  6  5  8  100  10  9
10  7  3  6  7  3  4  10  8  10  100  3
11  3  4  9  6  2  9  10  5  9  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  7  10  100  10  100  100  100  5  100  2
2  7  100  2  100  100  100  100  100  7  100  3
3  10  2  100  3  100  100  100  100  100  100  100
4  100  100  3  100  4  100  100  3  100  100  100
5  10  100  100  4  100  4  100  5  100  100  100
6  100  100  100  100  4  100  10  9  100  100  100
7  100  100  100  100  100  10  100  6  100  100  100
8  100  100  100  3  5  9  6  100  2  100  7
9  5  7  100  100  100  100  100  2  100  6  100
10  100  100  100  100  100  100  100  100  6  100  9
11  2  3  100  100  100  100  100  7  100  9  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  1
3  .  .  .  1  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  1  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  1
3  .  .  .  1  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  11
2  2  3
3  8  9
4  2  11
5  3  4
6  4  8
7  4  5
8  5  6
9  7  8
10  9  10
;
