param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  6  6  6  8  9  4  8  10  9  8
2  6  100  2  10  2  5  2  8  7  6  2
3  6  2  100  6  2  7  9  5  5  6  4
4  6  10  6  100  5  3  6  6  8  2  3
5  8  2  2  5  100  4  5  6  10  2  9
6  9  5  7  3  4  100  9  7  9  8  10
7  4  2  9  6  5  9  100  4  3  10  6
8  8  8  5  6  6  7  4  100  8  7  6
9  10  7  5  8  10  9  3  8  100  5  4
10  9  6  6  2  2  8  10  7  5  100  7
11  8  2  4  3  9  10  6  6  4  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  2  2  100  100  100  100  100  100  7  4
2  2  100  4  100  100  100  100  100  3  100  7
3  2  4  100  9  3  100  100  100  100  100  3
4  100  100  9  100  9  100  10  10  100  100  100
5  100  100  3  9  100  6  10  100  100  8  7
6  100  100  100  100  6  100  7  10  6  100  100
7  100  100  100  10  10  7  100  8  100  100  100
8  100  100  100  10  100  10  8  100  2  100  100
9  100  3  100  100  100  6  100  2  100  8  100
10  7  100  100  100  8  100  100  100  8  100  7
11  4  7  3  100  7  100  100  100  100  7  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  1  0  0  0  0  0  0  1  0
2  .  .  0  0  0  0  0  0  1  0  0
3  .  .  .  1  1  0  0  0  0  0  1
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  1  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  1  0  0
3  .  .  .  0  1  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  2
2  1  3
3  8  9
4  2  9
5  3  5
6  3  11
7  5  6
8  1  10
9  6  7
10  3  4
;
