param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  5  2  10  10  8  4  7  10  2  5
2  5  100  8  10  8  4  4  9  9  3  9
3  2  8  100  2  6  5  2  6  8  5  10
4  10  10  2  100  3  4  10  4  8  5  5
5  10  8  6  3  100  4  6  7  6  8  10
6  8  4  5  4  4  100  6  3  10  6  3
7  4  4  2  10  6  6  100  10  9  3  6
8  7  9  6  4  7  3  10  100  6  8  3
9  10  9  8  8  6  10  9  6  100  3  3
10  2  3  5  5  8  6  3  8  3  100  4
11  5  9  10  5  10  3  6  3  3  4  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  3  4  100  100  6  8  100  8  100  7
2  3  100  10  100  100  100  100  100  100  100  100
3  4  10  100  2  100  3  100  100  100  100  100
4  100  100  2  100  5  100  100  100  7  100  100
5  100  100  100  5  100  2  100  100  100  100  100
6  6  100  3  100  2  100  7  4  100  5  100
7  8  100  100  100  100  7  100  5  5  100  100
8  100  100  100  100  100  4  5  100  2  100  100
9  8  100  100  7  100  100  5  2  100  3  100
10  100  100  100  100  100  5  100  100  3  100  2
11  7  100  100  100  100  100  100  100  100  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  1  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  1  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  0  1  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  1  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  3  4
2  5  6
3  8  9
4  10  11
5  1  2
6  3  6
7  9  10
8  1  3
9  6  8
10  7  8
;
