param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  6  8  2  7  7  9  2  2  4  7
2  6  100  9  4  2  8  5  10  5  3  10
3  8  9  100  9  6  9  9  7  7  4  2
4  2  4  9  100  9  9  7  4  4  3  4
5  7  2  6  9  100  6  4  7  3  2  5
6  7  8  9  9  6  100  10  8  8  7  4
7  9  5  9  7  4  10  100  10  4  10  5
8  2  10  7  4  7  8  10  100  2  3  3
9  2  5  7  4  3  8  4  2  100  10  6
10  4  3  4  3  2  7  10  3  10  100  4
11  7  10  2  4  5  4  5  3  6  4  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  5  3  100  100  100  100  100  100  100  7
2  5  100  8  100  100  100  100  100  100  100  100
3  3  8  100  9  100  100  100  100  100  100  4
4  100  100  9  100  7  100  100  100  100  8  10
5  100  100  100  7  100  7  2  100  100  100  2
6  100  100  100  100  7  100  2  100  100  100  100
7  100  100  100  100  2  2  100  10  5  100  9
8  100  100  100  100  100  100  10  100  5  6  100
9  100  100  100  100  100  100  5  5  100  6  100
10  100  100  100  8  100  100  100  6  6  100  7
11  7  100  4  10  2  100  9  100  100  7  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  1  1  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  1
4  .  .  .  .  1  0  0  0  0  0  0
5  .  .  .  .  .  0  1  0  0  0  1
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  0  1  0  0
8  .  .  .  .  .  .  .  .  1  1  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  1  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  1
4  .  .  .  .  0  0  0  0  0  0  0
5  .  .  .  .  .  0  1  0  0  0  1
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  5  7
2  5  11
3  6  7
4  1  3
5  3  11
6  1  2
7  7  9
8  8  9
9  8  10
10  4  5
;
