graph,tsp_t1,tsp,tsp_t2,dp_tsp,dp_t1,dp,dp_t2,dp_mstH,dp_mst3c,dp_mst
0,1732,79,1754,79,3503,77,3551,78,78,85
1,1754,92,1774,92,114,87,141,87,88,99
2,1774,66,1796,66,285,63,320,63,63,77
3,1796,69,1817,69,483,69,526,74,70,81
4,1817,82,1841,82,716,81,767,81,81,93
5,1841,76,1867,76,978,68,1016,70,69,75
6,1867,83,1889,83,1185,82,1233,88,82,93
7,1889,70,1909,70,1400,67,1435,68,69,79
8,1909,85,1929,85,1611,85,1632,88,86,99
9,1929,72,1951,72,1778,69,1808,71,69,77
10,1951,110,1971,110,1943,110,1973,123,114,133
11,1971,82,1991,82,2119,82,2143,88,85,98
12,1991,68,2012,68,2277,68,2315,74,71,78
13,2012,79,2033,79,2490,76,2527,76,77,88
14,2033,56,2053,56,2682,56,2709,61,56,61
15,2053,83,2074,83,2841,82,2878,85,82,90
16,2074,79,2094,79,3041,78,3078,80,78,83
17,2094,78,2115,78,3231,77,3259,85,81,91
18,2115,94,2136,94,3418,94,3462,107,97,108
19,2137,75,2156,75,43,75,82,77,77,89
20,2157,94,2178,94,256,92,296,96,92,113
21,2178,86,2201,86,478,86,524,89,87,94
22,2201,69,2221,69,695,69,730,70,70,77
23,2221,72,2241,72,916,71,950,76,71,80
24,2241,89,2262,89,1098,89,1128,91,89,99
25,2262,99,2283,99,1277,95,1318,99,99,113
26,2283,73,2302,73,1473,73,1510,76,74,85
27,2302,88,2323,88,1674,88,1707,96,89,96
28,2323,80,2342,80,1861,80,1894,85,84,90
29,2343,87,2363,87,2057,87,2092,93,88,97
30,2363,86,2385,86,2267,86,2311,88,88,102
31,2385,78,2406,78,2470,75,2507,75,78,87
32,2406,94,2426,94,2713,88,2758,90,88,90
33,2426,76,2447,76,2926,69,2953,69,69,80
34,2447,83,2471,83,3087,81,3132,83,81,93
35,2471,70,2496,70,3310,68,3344,70,69,71
36,2496,72,2517,72,3494,72,3532,77,72,82
37,2517,90,2537,90,96,90,161,93,93,107
38,2537,79,2559,79,332,75,364,81,75,81
39,2559,91,2579,91,511,90,547,90,91,103
40,2579,86,2598,86,699,86,739,86,86,100
41,2598,77,2619,77,903,76,951,78,79,84
42,2619,67,2640,67,1127,66,1156,71,69,79
43,2640,86,2659,86,1314,85,1352,87,87,97
44,2659,76,2690,76,1563,72,1609,73,73,83
45,2690,81,2715,81,1802,80,1846,80,81,90
46,2715,97,2736,97,2019,97,2057,104,100,110
47,2736,95,2756,95,2266,93,2308,101,96,106
48,2756,71,2778,71,2487,70,2522,73,70,80
49,2778,68,2799,68,2691,66,2727,68,66,75
50,2799,64,2818,64,2895,63,2937,63,65,74
51,2819,73,2837,73,3093,73,3126,75,74,77
52,2838,78,2858,78,3286,76,3328,80,76,86
53,2858,66,2877,66,3504,66,3542,67,66,79
54,2877,84,2902,84,105,78,153,81,78,86
55,2902,87,2922,87,312,87,353,88,87,91
56,2922,74,2941,74,565,70,610,72,72,89
57,2941,93,2961,93,770,93,808,95,93,95
58,2962,79,2982,79,978,77,1016,81,79,83
59,2982,83,3002,83,1193,82,1231,85,82,85
60,3002,90,3022,90,1411,89,1456,92,89,95
61,3022,94,3042,94,1633,91,1671,91,93,102
62,3042,96,3062,96,1830,96,1872,105,104,116
63,3062,69,3082,69,2037,67,2084,68,67,71
64,3082,71,3103,71,2282,71,2322,74,71,79
65,3103,87,3125,87,2507,87,2552,92,87,97
66,3125,83,3149,83,2744,78,2776,79,78,90
67,3149,97,3169,97,2938,96,2991,97,96,106
68,3169,71,3188,71,3191,71,3253,72,71,78
69,3188,75,3208,75,3436,75,3482,76,75,83
