graph,tsp_t1,tsp,tsp_t2,dp_tsp,dp_t1,dp,dp_t2,dp_mstH,dp_mst3c,dp_mst
0,878,101,925,101,336,101,427,110,106,123
1,925,81,972,81,945,79,1029,79,79,94
2,972,92,1017,92,1395,92,1518,98,92,108
3,1018,62,1071,62,1985,62,2090,62,62,72
4,1071,66,1134,66,2499,66,2590,67,67,74
5,1135,87,1184,87,3313,84,3454,86,84,90
6,1184,83,1232,83,381,81,541,85,81,96
7,1233,93,1278,93,1069,92,1178,92,94,107
8,1278,74,1325,74,1575,72,1679,73,72,79
9,1325,78,1369,78,2115,78,2188,79,79,89
10,1369,83,1415,83,2546,83,2635,85,83,95
11,1416,82,1467,82,3062,80,3160,85,81,92
12,1468,85,1516,85,75,82,178,85,82,86
13,1516,83,1564,83,597,81,682,84,84,90
14,1564,76,1611,76,1124,76,1229,76,76,85
15,1612,106,1658,106,1691,97,1803,101,100,112
16,1658,95,1713,95,2242,89,2328,95,93,100
17,1713,72,1764,72,2710,72,2783,75,73,83
18,1765,87,1812,87,3229,86,3384,87,87,93
19,1813,71,1860,71,340,68,439,71,68,73
20,1860,89,1907,89,882,88,971,88,88,101
21,1907,70,1950,70,1310,70,1403,70,70,85
22,1950,89,1999,89,1811,88,1909,88,90,99
23,1999,75,2044,75,2315,75,2446,77,77,87
24,2044,81,2091,81,2999,72,3145,74,73,80
25,2091,93,2134,93,61,92,195,92,93,105
26,2135,81,2181,81,650,78,722,81,78,86
27,2182,66,2228,66,1098,65,1201,65,65,70
28,2228,72,2273,72,1570,69,1660,70,70,77
29,2274,68,2326,68,2149,68,2244,68,69,81
30,2326,90,2375,90,2689,88,2831,91,91,99
31,2376,86,2423,86,3349,85,3418,85,85,91
32,2423,84,2468,84,240,83,364,84,87,98
33,2469,94,2516,94,882,92,975,93,92,96
34,2516,83,2564,83,1421,81,1514,84,82,92
35,2564,60,2615,60,1981,58,2068,58,58,68
36,2616,82,2658,82,2458,82,2578,84,84,98
37,2658,91,2716,91,3062,85,3140,86,85,98
38,2716,95,2763,95,3536,94,19,95,94,105
39,2763,89,2812,89,386,88,483,90,89,101
