graph,tsp_t1,tsp,tsp_t2,dp_tsp,dp_t1,dp,dp_t2,dp_mstH,dp_mst3c,dp_mst
0,1567,67,1568,67,1735,60,1736,60,60,80
1,1568,71,1569,71,1743,69,1745,72,70,79
2,1570,71,1571,71,1752,70,1754,73,70,75
3,1571,63,1572,63,1760,60,1762,64,60,66
4,1572,65,1573,65,1770,64,1772,64,64,74
5,1573,64,1574,64,1778,56,1780,57,56,61
6,1574,77,1576,77,1786,76,1788,76,76,90
7,1576,75,1577,75,1794,73,1796,76,73,80
8,1577,52,1578,52,1804,51,1805,52,51,55
9,1578,65,1579,65,1813,65,1814,69,65,69
10,1579,68,1581,68,1822,57,1823,57,59,69
11,1581,55,1582,55,1831,54,1832,56,55,60
12,1582,74,1583,74,1840,73,1841,76,75,78
13,1583,84,1584,84,1848,84,1850,89,84,90
14,1584,66,1585,66,1857,61,1859,62,61,72
15,1585,56,1587,56,1866,56,1868,56,56,63
16,1587,72,1588,72,1874,72,1876,76,72,76
17,1588,72,1589,72,1882,72,1884,74,72,74
18,1589,70,1591,70,1891,67,1892,68,67,76
19,1591,58,1592,58,1899,55,1901,55,55,55
20,1592,82,1593,82,1908,80,1909,90,80,92
21,1593,74,1594,74,1916,64,1918,67,65,70
22,1594,58,1596,58,1925,55,1926,61,55,64
23,1596,62,1597,62,1933,62,1935,68,62,71
24,1597,59,1598,59,1942,59,1945,59,59,66
25,1598,54,1599,54,1952,52,1954,53,52,54
26,1599,56,1600,56,1961,56,1962,56,56,60
27,1600,61,1602,61,1969,60,1971,62,61,66
28,1602,69,1603,69,1979,69,1981,69,69,74
29,1603,70,1604,70,1988,70,1990,71,70,81
30,1604,54,1605,54,1997,54,1998,54,54,63
31,1605,64,1606,64,2005,56,2007,56,56,64
32,1606,64,1608,64,2014,64,2015,70,64,71
33,1608,73,1609,73,2022,73,2023,73,73,86
34,1609,58,1610,58,2030,56,2031,57,56,57
35,1610,69,1611,69,2039,68,2041,71,68,73
36,1611,64,1613,64,2048,64,2050,71,64,71
37,1613,65,1614,65,2057,61,2059,63,61,63
38,1614,68,1615,68,2066,68,2067,70,69,80
39,1615,65,1616,65,2075,65,2077,65,65,70
40,1616,77,1618,77,2083,72,2085,72,72,77
41,1618,78,1619,78,2091,78,2093,78,79,87
42,1619,74,1620,74,2100,73,2101,73,73,74
43,1620,70,1621,70,2108,70,2110,71,70,81
44,1621,71,1622,71,2117,68,2119,69,68,69
45,1622,72,1624,72,2127,67,2130,70,67,72
46,1624,71,1625,71,2138,67,2140,74,67,76
47,1625,59,1626,59,2148,56,2149,59,57,60
48,1626,69,1627,69,2156,68,2158,75,69,76
49,1627,74,1628,74,2165,72,2166,72,72,81
50,1628,55,1630,55,2172,55,2174,57,55,64
51,1630,68,1631,68,2181,64,2182,65,64,67
52,1631,49,1632,49,2190,49,2191,52,49,54
53,1632,73,1633,73,2198,73,2199,76,73,80
54,1633,71,1634,71,2206,71,2208,73,72,81
55,1634,45,1636,45,2215,45,2217,45,45,49
56,1636,69,1637,69,2223,69,2225,71,69,71
57,1637,57,1638,57,2232,56,2234,58,56,62
58,1638,64,1639,64,2241,62,2243,62,62,76
59,1639,62,1640,62,2250,61,2252,61,61,70
60,1640,80,1642,80,2260,73,2262,73,74,76
61,1642,84,1643,84,2268,84,2270,89,88,96
62,1643,84,1644,84,2277,80,2278,85,80,101
63,1644,67,1645,67,2285,67,2287,68,67,69
64,1645,66,1647,66,2294,59,2296,59,59,63
65,1647,55,1648,55,2302,51,2304,51,54,59
66,1648,80,1649,80,2311,79,2313,85,79,93
67,1649,41,1650,41,2320,40,2322,40,41,40
68,1650,94,1652,94,2330,88,2332,90,88,100
69,1652,99,1653,99,2339,98,2340,98,98,103
70,1653,45,1654,45,2347,45,2349,45,45,51
71,1654,61,1655,61,2355,61,2356,63,61,63
72,1655,69,1657,69,2363,69,2365,72,70,74
73,1657,85,1658,85,2373,80,2375,81,80,83
74,1658,57,1659,57,2381,52,2383,52,52,59
75,1659,48,1660,48,2390,48,2391,52,48,52
76,1660,57,1662,57,2398,57,2399,59,57,61
77,1662,60,1663,60,2406,57,2408,57,60,57
78,1663,82,1664,82,2415,82,2417,87,82,96
79,1664,51,1665,51,2424,48,2425,48,48,51
80,1665,82,1666,82,2432,78,2433,78,78,97
81,1666,77,1667,77,2440,77,2441,86,77,90
82,1667,64,1669,64,2449,63,2450,63,63,72
83,1669,97,1670,97,2457,92,2459,102,92,109
84,1670,64,1671,64,2466,64,2468,66,65,74
85,1671,76,1672,76,2475,76,2477,78,77,95
86,1672,65,1674,65,2485,63,2487,63,64,65
87,1674,64,1675,64,2495,63,2497,63,63,67
88,1675,66,1676,66,2505,64,2507,64,64,73
89,1676,54,1677,54,2514,53,2516,53,53,61
90,1677,71,1679,71,2523,70,2524,70,70,81
91,1679,64,1680,64,2531,64,2532,64,64,74
92,1680,65,1681,65,2540,65,2541,65,65,74
93,1681,65,1682,65,2549,63,2550,63,63,67
94,1682,50,1683,50,2557,50,2559,51,50,54
95,1683,70,1685,70,2566,65,2568,65,65,70
96,1685,64,1686,64,2575,61,2576,61,62,70
97,1686,75,1687,75,2584,73,2586,76,73,76
98,1687,78,1688,78,2593,76,2595,78,78,80
99,1688,73,1689,73,2602,73,2604,76,74,89
